symbol,feature,horizon_ms,n,pearson,pearson_p,spearman,spearman_p,hit_rate,hit_rate_p,ols_beta,ols_p,ols_r2,ols_beta_ctrl,ols_p_ctrl,ols_r2_ctrl,net_cost_threshold,net_mean_bps,net_pct_positive,net_n,net_p
SOL,tob_imbalance,500,873,0.3285053864203587,2.0558587240142218e-23,0.3832487257093665,6.316596649676344e-32,0.7252124645892352,1.1379732118119032e-17,0.00005404889582081488,1.6197081146521933e-22,0.10791578890718911,0.00005353832813613276,1.6637870931318435e-21,0.11290589344538182,0.9780988861720818,-8.463326023021049,0.0,153,1.6415505312659897e-134
SOL,imbalance_d5,500,873,0.35068307574845503,1.1597038239748799e-26,0.38627184692307015,1.9083983721534263e-32,0.7195467422096318,7.788939694056979e-17,0.00007170696125598754,9.207039934094683e-24,0.12297861961639656,0.00007079479981778856,3.971916754584494e-23,0.12692467576368327,0.8364310384759855,-8.355525958155466,0.0,143,6.702287766112886e-120
SOL,imbalance_d10,500,873,0.3556242915896966,2.014799945451574e-27,0.3810440741236422,1.5001803280396133e-31,0.6770538243626062,2.5700310593898513e-11,0.00008921023940463748,1.4949572704737195e-22,0.12646863676867348,0.0000877486617296173,6.373724478702697e-22,0.1290232723116309,0.71649986088244,-8.44282301415178,0.0,170,1.1386006014822098e-144
SOL,imbalance_d20,500,873,0.34464148613078066,9.452300483904396e-26,0.35422745256952604,3.314954434771026e-27,0.623229461756374,4.238024014038145e-6,0.000128152310799541,4.450216535774542e-20,0.11877775396243284,0.00012735068633479236,1.4731487621239908e-19,0.12119022593927797,0.5364790495270273,-8.728352551291474,0.0,289,1.1672080623383606e-252
SOL,ofi,500,873,0.26475789328607635,1.8081714075792396e-15,0.25654736079500845,1.3773788377095997e-14,0.6487252124645893,2.4701239392217194e-8,1.964312191625873e-8,1.9138083627576684e-17,0.07009674205728167,1.910959218173076e-8,8.788398169665982e-16,0.07211166481983189,1799.3300000000002,-8.710305418514853,0.0,180,5.5951958333579057e-160
SOL,tob_imbalance,1000,873,0.3285053864203587,2.0558587240142218e-23,0.3832487257093665,6.316596649676344e-32,0.7252124645892352,1.1379732118119032e-17,0.00005404889582081488,1.6197081146521933e-22,0.10791578890718911,0.00005353832813613276,1.6637870931318435e-21,0.11290589344538182,0.9780988861720818,-8.463326023021049,0.0,153,1.6415505312659897e-134
SOL,imbalance_d5,1000,873,0.35068307574845503,1.1597038239748799e-26,0.38627184692307015,1.9083983721534263e-32,0.7195467422096318,7.788939694056979e-17,0.00007170696125598754,9.207039934094683e-24,0.12297861961639656,0.00007079479981778856,3.971916754584494e-23,0.12692467576368327,0.8364310384759855,-8.355525958155466,0.0,143,6.702287766112886e-120
SOL,imbalance_d10,1000,873,0.3556242915896966,2.014799945451574e-27,0.3810440741236422,1.5001803280396133e-31,0.6770538243626062,2.5700310593898513e-11,0.00008921023940463748,1.4949572704737195e-22,0.12646863676867348,0.0000877486617296173,6.373724478702697e-22,0.1290232723116309,0.71649986088244,-8.44282301415178,0.0,170,1.1386006014822098e-144
SOL,imbalance_d20,1000,873,0.34464148613078066,9.452300483904396e-26,0.35422745256952604,3.314954434771026e-27,0.623229461756374,4.238024014038145e-6,0.000128152310799541,4.450216535774542e-20,0.11877775396243284,0.00012735068633479236,1.4731487621239908e-19,0.12119022593927797,0.5364790495270273,-8.728352551291474,0.0,289,1.1672080623383606e-252
SOL,ofi,1000,873,0.26475789328607635,1.8081714075792396e-15,0.25654736079500845,1.3773788377095997e-14,0.6487252124645893,2.4701239392217194e-8,1.964312191625873e-8,1.9138083627576684e-17,0.07009674205728167,1.910959218173076e-8,8.788398169665982e-16,0.07211166481983189,1799.3300000000002,-8.710305418514853,0.0,180,5.5951958333579057e-160
SOL,tob_imbalance,5000,873,0.3285053864203587,2.0558587240142218e-23,0.3832487257093665,6.316596649676344e-32,0.7252124645892352,1.1379732118119032e-17,0.00005404889582081488,1.6197081146521933e-22,0.10791578890718911,0.00005353832813613276,1.6637870931318435e-21,0.11290589344538182,0.9780988861720818,-8.463326023021049,0.0,153,1.6415505312659897e-134
SOL,imbalance_d5,5000,873,0.35068307574845503,1.1597038239748799e-26,0.38627184692307015,1.9083983721534263e-32,0.7195467422096318,7.788939694056979e-17,0.00007170696125598754,9.207039934094683e-24,0.12297861961639656,0.00007079479981778856,3.971916754584494e-23,0.12692467576368327,0.8364310384759855,-8.355525958155466,0.0,143,6.702287766112886e-120
SOL,imbalance_d10,5000,873,0.3556242915896966,2.014799945451574e-27,0.3810440741236422,1.5001803280396133e-31,0.6770538243626062,2.5700310593898513e-11,0.00008921023940463748,1.4949572704737195e-22,0.12646863676867348,0.0000877486617296173,6.373724478702697e-22,0.1290232723116309,0.71649986088244,-8.44282301415178,0.0,170,1.1386006014822098e-144
SOL,imbalance_d20,5000,873,0.34464148613078066,9.452300483904396e-26,0.35422745256952604,3.314954434771026e-27,0.623229461756374,4.238024014038145e-6,0.000128152310799541,4.450216535774542e-20,0.11877775396243284,0.00012735068633479236,1.4731487621239908e-19,0.12119022593927797,0.5364790495270273,-8.728352551291474,0.0,289,1.1672080623383606e-252
SOL,ofi,5000,873,0.26475789328607635,1.8081714075792396e-15,0.25654736079500845,1.3773788377095997e-14,0.6487252124645893,2.4701239392217194e-8,1.964312191625873e-8,1.9138083627576684e-17,0.07009674205728167,1.910959218173076e-8,8.788398169665982e-16,0.07211166481983189,1799.3300000000002,-8.710305418514853,0.0,180,5.5951958333579057e-160
SOL,tob_imbalance,10000,872,0.27418831243723024,1.6715784156250615e-16,0.33316782291972175,4.759788333728982e-24,0.6725490196078432,4.985591362401082e-15,0.00006870375357168512,5.104124881566881e-15,0.07517923067717613,0.00006856941907779703,1.7812076212581347e-14,0.07942835353664679,0.9780988861720818,-8.252798949629717,0.0,153,1.357307030940643e-113
SOL,imbalance_d5,10000,872,0.3049368003656404,3.199690963474493e-20,0.34150012510776523,2.94212335963291e-25,0.6725490196078432,4.985591362401082e-15,0.00009491384975374002,1.1341448054284912e-17,0.09298645221723423,0.0000943220600662166,2.5648931829279514e-17,0.09631520645327396,0.8364310384759855,-8.183582601719905,0.0,143,1.6950073057310063e-102
SOL,imbalance_d10,10000,872,0.31374130917751925,2.264859985542106e-21,0.3405638581970403,4.0397104614042295e-25,0.6392156862745098,3.311481060386767e-10,0.00011976833417634013,1.034273300902876e-16,0.09843360908442367,0.00011843051264927613,2.682576712210366e-16,0.10038510546210733,0.71649986088244,-8.203981182408763,0.0,170,6.652451048198149e-124
