timestamp_ms,equity,inventory,cash,mid
1786648415504,100004.5615650219,-0.098805,106271.9109225219,63431.5
1786648420893,100007.031800508,-0.098805,106271.911033008,63406.5
1786648426256,100007.03192874197,-0.098805,106271.91116124197,63406.5
1786648431766,100007.62487082215,-0.098805,106271.91127332216,63400.5
1786648437168,100008.21781313414,-0.098805,106271.91138563414,63394.5
1786648442556,100008.21794464445,-0.098805,106271.91151714444,63394.5
1786648448048,100007.72402973006,-0.098805,106271.91162723006,63399.5
1786648453455,100006.57936936081,-0.10459,106638.6835643608,63410.5
1786648458856,100008.04377077102,-0.10459,106638.68370577102,63396.5
1786648464316,100008.04388758558,-0.10459,106638.68382258558,63396.5
1786648469562,100008.04400391548,-0.10459,106638.68393891548,63396.5
1786648474931,100008.04414343306,-0.10459,106638.68407843306,63396.5
1786648480433,100007.41672038546,-0.10459,106638.68419538546,63402.5
1786648485940,100007.41683662693,-0.10459,106638.68431162693,63402.5
1786648491303,100007.41697725422,-0.10459,106638.68445225422,63402.5
1786648496791,100007.41709326541,-0.10459,106638.68456826541,63402.5
1786648501814,100007.41721187868,-0.10459,106638.68468687868,63402.5
1786648507237,100007.417328834,-0.10459,106638.684803834,63402.5
1786648512623,100008.35878121137,-0.10459,106638.68494621138,63393.5
1786648518077,100010.24151644914,-0.10459,106638.68506144914,63375.5
1786648523396,100010.24163451856,-0.10459,106638.68517951856,63375.5
1786648528696,100010.24175284119,-0.10459,106638.68529784119,63375.5
1786648534116,100010.24189563406,-0.10459,106638.68544063406,63375.5
1786648539477,100010.24201407179,-0.10459,106638.68555907179,63375.5
1786648544971,100010.24213066793,-0.10459,106638.68567566793,63375.5
1786648550290,100010.24224998044,-0.10459,106638.68579498044,63375.5
1786648555651,100010.24239088564,-0.10459,106638.68593588565,63375.5
1786648561058,100010.2425074803,-0.10459,106638.6860524803,63375.5
1786648566593,100010.24262354516,-0.10459,106638.68616854516,63375.5
1786648572017,100010.24276686521,-0.10459,106638.68631186521,63375.5
1786648577502,100010.24288099642,-0.10459,106638.68642599642,63375.5
1786648583006,100007.20991145197,-0.10459,106638.68656645197,63404.5
1786648588369,100007.21002729576,-0.10459,106638.68668229577,63404.5
1786648593749,100007.21014631976,-0.10459,106638.68680131977,63404.5
1786648599124,100007.2102626727,-0.10459,106638.6869176727,63404.5
1786648604488,100007.21040661138,-0.10459,106638.68706161139,63404.5
1786648609874,100009.72068449891,-0.10459,106638.68717949891,63380.5
